# generation:     mean_loss:           best_loss:
914                  75.1577                  75.1577
915                  75.1577                  75.1577
916                  75.1577                  75.1577
917                  75.1577                  75.1577
918                  75.1577                  75.1577
919                  75.1577                  75.1577
920                  75.1577                  75.1577
921                  75.1577                  75.1577
922                  75.1577                  75.1577
923                  75.1577                  75.1577
924                  75.1577                  75.1577
925                  75.1577                  75.1577
926                  75.1577                  75.1577
927                  75.1577                  75.1577
928                  75.1577                  75.1577
929                  75.1577                  75.1577
930                  75.1577                  75.1577
931                  75.1577                  75.1577
932                  75.1577                  75.1577
933                  75.1577                  75.1577
934                  75.1577                  75.1577
935                  75.1577                  75.1577
936                  75.1577                  75.1577
937                  75.1577                  75.1577
938                  75.1577                  75.1577
939                  75.1577                  75.1577
940                  75.1577                  75.1577
941                  75.1577                  75.1577
942                  75.1577                  75.1577
943                  75.1577                  75.1577
944                  75.1577                  75.1577
945                  75.1577                  75.1577
946                  75.1577                  75.1577
947                  75.1577                  75.1577
948                  75.1577                  75.1577
949                  75.1577                  75.1577
950                  75.1577                  75.1577
951                  75.1577                  75.1577
952                  75.1577                  75.1577
953                  75.1577                  75.1577
954                  75.1577                  75.1577
955                  75.1577                  75.1577
956                  75.1577                  75.1577
957                  75.1577                  75.1577
958                  75.1577                  75.1577
959                  75.1577                  75.1577
960                  75.1577                  75.1577
961                  75.1577                  75.1577
962                  75.1577                  75.1577
963                  75.1577                  75.1577
964                  75.1577                  75.1577
965                  75.1577                  75.1577
966                  75.1577                  75.1577
967                  75.1577                  75.1577
968                  75.1577                  75.1577
969                  75.1577                  75.1577
970                  75.1577                  75.1577
971                  75.1577                  75.1577
972                  75.1577                  75.1577
973                  75.1577                  75.1577
974                  75.1577                  75.1577
975                  75.1577                  75.1577
976                  75.1577                  75.1577
977                  75.1577                  75.1577
978                  75.1577                  75.1577
979                  75.1577                  75.1577
980                  75.1577                  75.1577
981                  75.1577                  75.1577
982                  75.1577                  75.1577
983                  75.1577                  75.1577
984                  75.1577                  75.1577
985                  75.1577                  75.1577
986                  75.1577                  75.1577
987                  75.1577                  75.1577
988                  75.1577                  75.1577
989                  75.1577                  75.1577
990                  75.1577                  75.1577
991                  75.1577                  75.1577
992                  75.1577                  75.1577
993                  75.1577                  75.1577
994                  75.1577                  75.1577
995                  75.1577                  75.1577
996                  75.1577                  75.1577
997                  75.1577                  75.1577
998                  75.1577                  75.1577
999                  75.1577                  75.1577
1000                  75.1577                  75.1577
1001                  75.1577                  75.1577
1002                  75.1577                  75.1577
1003                  75.1577                  75.1577
1004                  75.1577                  75.1577
1005                  75.1577                  75.1577
1006                  75.1577                  75.1577
1007                  75.1577                  75.1577
1008                  75.1577                  75.1577
1009                  75.1577                  75.1577
1010                  75.1577                  75.1577
1011                  75.1577                  75.1577
1012                  75.1577                  75.1577
1013                  75.1577                  75.1577
1014                  75.1577                  75.1577
1015                  75.1577                  75.1577
1016                  75.1577                  75.1577
1017                  75.1577                  75.1577
1018                  75.1577                  75.1577
1019                  75.1577                  75.1577
1020                  75.1577                  75.1577
1021                  75.1577                  75.1577
1022                  75.1577                  75.1577
1023                  75.1577                  75.1577
1024                  75.1577                  75.1577
1025                  75.1577                  75.1577
1026                  75.1577                  75.1577
1027                  75.1577                  75.1577
1028                  75.1577                  75.1577
1029                  75.1577                  75.1577
1030                  75.1577                  75.1577
